month,business_unit,cost_category,revenue,budget,actual,variance,variance_pct
2025-01-01,North America,Payroll,5413122.26,2273511.35,2084358.1,-189153.25,-0.08319872693839861
2025-01-01,North America,Cloud,5413122.26,866099.56,918096.8,51997.23999999999,0.060036100237713996
2025-01-01,North America,Travel,5413122.26,324787.34,349226.02,24438.679999999993,0.07524517427311049
2025-01-01,North America,Software,5413122.26,649574.67,548187.23,-101387.44000000006,-0.15608281031032206
2025-01-01,North America,Professional Services,5413122.26,541312.23,484921.37,-56390.859999999986,-0.10417436901434868
2025-01-01,North America,Facilities,5413122.26,378918.56,382793.85,3875.289999999979,0.010227237219522789
2025-01-01,North America,Marketing,5413122.26,378918.56,369332.14,-9586.419999999984,-0.025299420540392595
2025-01-01,EMEA,Payroll,3705819.55,1556444.21,1450226.99,-106217.21999999997,-0.0682435125638072
2025-01-01,EMEA,Cloud,3705819.55,592931.13,634644.92,41713.79000000004,0.07035182989970527
2025-01-01,EMEA,Travel,3705819.55,222349.17,236184.48,13835.309999999998,0.062223348978545756
2025-01-01,EMEA,Software,3705819.55,444698.35,447047.44,2349.0900000000256,0.0052824347110800515
2025-01-01,EMEA,Professional Services,3705819.55,370581.95,404000.77,33418.82000000001,0.09017929772348601
2025-01-01,EMEA,Facilities,3705819.55,259407.37,269109.4,9702.030000000028,0.03740074925396309
2025-01-01,EMEA,Marketing,3705819.55,259407.37,241574.82,-17832.54999999999,-0.06874342082108148
2025-01-01,APAC,Payroll,2921221.7,1226913.12,1132795.86,-94117.26000000001,-0.07671061501078413
2025-01-01,APAC,Cloud,2921221.7,467395.47,500242.17,32846.70000000001,0.07027603412587635
2025-01-01,APAC,Travel,2921221.7,175273.3,174573.25,-700.0499999999884,-0.0039940481522284825
2025-01-01,APAC,Software,2921221.7,350546.6,345362.37,-5184.229999999981,-0.014788989538052806
2025-01-01,APAC,Professional Services,2921221.7,292122.17,276209.0,-15913.169999999984,-0.05447436598187664
2025-01-01,APAC,Facilities,2921221.7,204485.52,224484.88,19999.360000000015,0.09780330656175565
2025-01-01,APAC,Marketing,2921221.7,204485.52,201957.6,-2527.9199999999837,-0.012362342331134174
2025-01-01,India,Payroll,2130573.44,894840.85,869632.57,-25208.280000000028,-0.028170685323541084
2025-01-01,India,Cloud,2130573.44,340891.75,355408.54,14516.789999999979,0.04258475014429061
2025-01-01,India,Travel,2130573.44,127834.41,131571.71,3737.2999999999884,0.029235477364818973
2025-01-01,India,Software,2130573.44,255668.81,264110.64,8441.830000000016,0.03301861498084188
2025-01-01,India,Professional Services,2130573.44,213057.34,220400.51,7343.170000000013,0.034465698295116295
2025-01-01,India,Facilities,2130573.44,149140.14,174692.59,25552.449999999983,0.17133180912931945
2025-01-01,India,Marketing,2130573.44,149140.14,144291.12,-4849.020000000019,-0.0325131785446897
2025-02-01,North America,Payroll,5438741.85,2284271.58,2135561.34,-148710.24000000022,-0.06510182121164429
2025-02-01,North America,Cloud,5438741.85,870198.7,913080.66,42881.96000000008,0.0492783544723752
2025-02-01,North America,Travel,5438741.85,326324.51,355797.42,29472.909999999974,0.0903177943942978
2025-02-01,North America,Software,5438741.85,652649.02,646699.61,-5949.410000000033,-0.009115787839534383
2025-02-01,North America,Professional Services,5438741.85,543874.19,507319.03,-36555.159999999916,-0.06721252942707195
2025-02-01,North America,Facilities,5438741.85,380711.93,355600.74,-25111.190000000002,-0.0659585056869639
2025-02-01,North America,Marketing,5438741.85,380711.93,400527.0,19815.070000000007,0.05204741022956651
2025-02-01,EMEA,Payroll,3933758.87,1652178.73,1723969.76,71791.03000000003,0.04345233883987844
2025-02-01,EMEA,Cloud,3933758.87,629401.42,595891.6,-33509.820000000065,-0.05324077597409943
2025-02-01,EMEA,Travel,3933758.87,236025.53,240409.21,4383.679999999993,0.018572906075033462
2025-02-01,EMEA,Software,3933758.87,472051.06,476457.6,4406.539999999979,0.009334880002175992
2025-02-01,EMEA,Professional Services,3933758.87,393375.89,400258.03,6882.140000000014,0.017495073223730142
2025-02-01,EMEA,Facilities,3933758.87,275363.12,294559.87,19196.75,0.06971431032594343
2025-02-01,EMEA,Marketing,3933758.87,275363.12,280288.72,4925.599999999977,0.017887653219501497
2025-02-01,APAC,Payroll,3052874.97,1282207.49,1289139.52,6932.030000000028,0.005406324681506913
2025-02-01,APAC,Cloud,3052874.97,488460.0,499757.86,11297.859999999986,0.023129550014330726
2025-02-01,APAC,Travel,3052874.97,183172.5,192423.27,9250.76999999999,0.0505030504033083
2025-02-01,APAC,Software,3052874.97,366345.0,323639.26,-42705.73999999999,-0.11657246584503676
2025-02-01,APAC,Professional Services,3052874.97,305287.5,297480.17,-7807.330000000016,-0.02557369692502974
2025-02-01,APAC,Facilities,3052874.97,213701.25,205659.71,-8041.540000000008,-0.037629822006188585
2025-02-01,APAC,Marketing,3052874.97,213701.25,202778.93,-10922.320000000007,-0.051110229818496646
2025-02-01,India,Payroll,2214974.71,930289.38,1041547.62,111258.23999999999,0.11959530270032749
2025-02-01,India,Cloud,2214974.71,354395.95,329848.19,-24547.76000000001,-0.06926648004865746
