Date,Asset,Asset Price,Benchmark,Benchmark Price,Asset Return,Benchmark Return
2023-01-02,FinSight Demo Asset,100.32,Global Benchmark Proxy,100.35,,
2023-01-03,FinSight Demo Asset,99.17,Global Benchmark Proxy,99.29,-0.011463317384369898,-0.010563029397109958
2023-01-04,FinSight Demo Asset,99.14,Global Benchmark Proxy,100.1,-0.0003025108399717924,0.008157921240809607
2023-01-05,FinSight Demo Asset,100.08,Global Benchmark Proxy,101.12,0.009481541254791281,0.010189810189810355
2023-01-06,FinSight Demo Asset,97.41,Global Benchmark Proxy,99.08,-0.026678657074340584,-0.020174050632911444
2023-01-09,FinSight Demo Asset,96.64,Global Benchmark Proxy,97.76,-0.007904732573657647,-0.013322567622123471
2023-01-10,FinSight Demo Asset,96.85,Global Benchmark Proxy,97.92,0.002173013245033051,0.0016366612111291534
2023-01-11,FinSight Demo Asset,96.37,Global Benchmark Proxy,97.63,-0.004956117707795471,-0.0029616013071895875
2023-01-12,FinSight Demo Asset,96.33,Global Benchmark Proxy,97.64,-0.000415066929542407,0.00010242753252076575
2023-01-13,FinSight Demo Asset,95.6,Global Benchmark Proxy,96.8,-0.007578116889857767,-0.00860303154444908
2023-01-16,FinSight Demo Asset,97.0,Global Benchmark Proxy,97.72,0.014644351464435212,0.009504132231404894
2023-01-17,FinSight Demo Asset,97.25,Global Benchmark Proxy,98.55,0.002577319587628857,0.008493655341792916
2023-01-18,FinSight Demo Asset,96.69,Global Benchmark Proxy,98.65,-0.005758354755784123,0.0010147133434805777
2023-01-19,FinSight Demo Asset,98.7,Global Benchmark Proxy,99.85,0.020788085634501963,0.012164216928535199
2023-01-20,FinSight Demo Asset,99.0,Global Benchmark Proxy,100.38,0.003039513677811412,0.005307961942914385
2023-01-23,FinSight Demo Asset,97.13,Global Benchmark Proxy,99.5,-0.018888888888888955,-0.008766686590954365
2023-01-24,FinSight Demo Asset,97.88,Global Benchmark Proxy,99.92,0.007721610213116348,0.004221105527638214
2023-01-25,FinSight Demo Asset,97.18,Global Benchmark Proxy,98.95,-0.0071516142214955725,-0.009707766212970315
2023-01-26,FinSight Demo Asset,97.18,Global Benchmark Proxy,99.89,0.0,0.009499747347144982
2023-01-27,FinSight Demo Asset,97.33,Global Benchmark Proxy,99.87,0.0015435274747890304,-0.00020022024226640234
2023-01-30,FinSight Demo Asset,97.67,Global Benchmark Proxy,99.71,0.0034932703174765933,-0.0016020827075199362
2023-01-31,FinSight Demo Asset,97.21,Global Benchmark Proxy,99.03,-0.004709736869048964,-0.006819777354327483
2023-02-01,FinSight Demo Asset,99.03,Global Benchmark Proxy,100.33,0.018722353667318226,0.013127335150964425
2023-02-02,FinSight Demo Asset,97.96,Global Benchmark Proxy,100.2,-0.010804806624255314,-0.0012957241104355477
2023-02-03,FinSight Demo Asset,97.76,Global Benchmark Proxy,99.78,-0.0020416496529194195,-0.004191616766467066
2023-02-06,FinSight Demo Asset,97.22,Global Benchmark Proxy,99.44,-0.005523731587561476,-0.003407496492283002
2023-02-07,FinSight Demo Asset,97.54,Global Benchmark Proxy,100.03,0.0032915038058014545,0.005933226065969466
2023-02-08,FinSight Demo Asset,98.57,Global Benchmark Proxy,100.45,0.010559770350625275,0.0041987403778867005
2023-02-09,FinSight Demo Asset,100.07,Global Benchmark Proxy,100.91,0.015217611849447144,0.004579392732702692
2023-02-10,FinSight Demo Asset,101.84,Global Benchmark Proxy,101.4,0.017687618666933247,0.0048558121098007945
2023-02-13,FinSight Demo Asset,105.27,Global Benchmark Proxy,103.72,0.03368028279654345,0.022879684418145807
2023-02-14,FinSight Demo Asset,104.76,Global Benchmark Proxy,103.31,-0.004844685095468759,-0.00395295025067488
2023-02-15,FinSight Demo Asset,104.46,Global Benchmark Proxy,102.78,-0.002863688430698841,-0.00513019068821996
2023-02-16,FinSight Demo Asset,104.1,Global Benchmark Proxy,101.94,-0.003446295232624963,-0.008172796263864579
2023-02-17,FinSight Demo Asset,104.97,Global Benchmark Proxy,102.63,0.008357348703170064,0.006768687463213574
2023-02-20,FinSight Demo Asset,106.46,Global Benchmark Proxy,103.88,0.014194531770982177,0.012179674559095854
2023-02-21,FinSight Demo Asset,106.97,Global Benchmark Proxy,103.79,0.004790531655081809,-0.0008663842895647589
2023-02-22,FinSight Demo Asset,105.97,Global Benchmark Proxy,102.91,-0.009348415443582336,-0.00847865883033061
2023-02-23,FinSight Demo Asset,104.51,Global Benchmark Proxy,102.05,-0.013777484193639666,-0.008356816635895492
2023-02-24,FinSight Demo Asset,105.04,Global Benchmark Proxy,102.78,0.00507128504449339,0.007153356197942218
2023-02-27,FinSight Demo Asset,106.43,Global Benchmark Proxy,103.61,0.01323305407463815,0.008075501070247126
2023-02-28,FinSight Demo Asset,107.14,Global Benchmark Proxy,104.24,0.006671051395283234,0.006080494160795258
2023-03-01,FinSight Demo Asset,106.64,Global Benchmark Proxy,103.54,-0.004666791114429691,-0.006715272448196363
2023-03-02,FinSight Demo Asset,107.46,Global Benchmark Proxy,103.83,0.007689422355588782,0.0028008499130769415
2023-03-03,FinSight Demo Asset,107.39,Global Benchmark Proxy,103.99,-0.0006514051740181825,0.0015409804488104584
2023-03-06,FinSight Demo Asset,108.26,Global Benchmark Proxy,104.26,0.0081013129714127,0.0025964035003367414
2023-03-07,FinSight Demo Asset,109.67,Global Benchmark Proxy,105.25,0.013024200997598268,0.009495492039132802
2023-03-08,FinSight Demo Asset,109.08,Global Benchmark Proxy,105.53,-0.005379775690708466,0.0026603325415677226
2023-03-09,FinSight Demo Asset,111.05,Global Benchmark Proxy,106.31,0.018060139347268134,0.007391263147920046
2023-03-10,FinSight Demo Asset,110.82,Global Benchmark Proxy,106.42,-0.002071139126519572,0.0010347098109302344
2023-03-13,FinSight Demo Asset,109.99,Global Benchmark Proxy,106.78,-0.007489622811766794,0.003382822777673322
2023-03-14,FinSight Demo Asset,110.05,Global Benchmark Proxy,107.52,0.0005455041367397051,0.006930136729724534
2023-03-15,FinSight Demo Asset,107.53,Global Benchmark Proxy,105.91,-0.02289868241708315,-0.01497395833333337
2023-03-16,FinSight Demo Asset,107.23,Global Benchmark Proxy,105.59,-0.0027899190923462713,-0.0030214332924179965
2023-03-17,FinSight Demo Asset,106.52,Global Benchmark Proxy,105.1,-0.006621281357829023,-0.004640590965053648
2023-03-20,FinSight Demo Asset,105.56,Global Benchmark Proxy,104.43,-0.009012392039053685,-0.00637488106565165
2023-03-21,FinSight Demo Asset,105.73,Global Benchmark Proxy,104.16,0.0016104585070102484,-0.002585463947141764
2023-03-22,FinSight Demo Asset,107.82,Global Benchmark Proxy,105.83,0.019767331883098427,0.01603302611367119
