Transaction ID,Date,Fiscal Year,Fiscal Period,Region,Country,Legal Entity,Department,Cost Center,Profit Center,GL Account,Cost Category,Currency,FX Rate to USD,Revenue Local,Budget Local,Actual Local,Revenue USD,Budget USD,Actual USD,Variance USD,Variance %,Profit USD,Margin %,Payment Status,Payment Due Date,Anomaly Flag,Anomaly,Business Unit,Account / Cost Category,Revenue,Budget,Actual,Variance,Profit
TXN-00001,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,IT,CC-IT,PC-TECH,520200,Software Licenses,INR,0.0118,434246203.71422803,42392383.07873739,41215572.76093764,5124105.203827891,500230.1203291012,486343.7585790641,-13886.361750037118,-2.775994724368314,4637761.445248826,0.9050870856016485,On Time,2025-01-17,0,,India,Software Licenses,5124105.203827891,500230.1203291012,486343.7585790641,-13886.361750037118,4637761.445248826
TXN-00002,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,IT,CC-IT,PC-TECH,520200,Software Licenses,INR,0.0118,389965047.80737686,32151710.516767044,33042684.561680317,4601587.564127047,379390.1840978511,389903.67782782775,10513.493729976646,2.7711559683539515,4211683.886299219,0.9152675739852415,7 Days Late,2025-01-12,0,,India,Software Licenses,4601587.564127047,379390.1840978511,389903.67782782775,10513.493729976646,4211683.886299219
TXN-00003,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Sales,CC-SALES,PC-GROWTH,510100,Payroll,INR,0.0118,388336561.74722475,111422203.59970222,120999438.17238438,4582371.428617252,1314782.0024764861,1427793.3704341357,113011.36795764952,8.595445309167946,3154578.0581831164,0.6884160542906977,On Time,2025-01-14,0,,India,Payroll,4582371.428617252,1314782.0024764861,1427793.3704341357,113011.36795764952,3154578.0581831164
TXN-00004,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,HR,CC-HR,PC-CORP,510100,Payroll,INR,0.0118,366320811.9381422,150454987.7981564,144345534.955588,4322585.580870078,1775368.8560182455,1703277.3124759386,-72091.54354230687,-4.060651582229061,2619308.2683941396,0.6059586836142891,On Time,2025-01-25,0,,India,Payroll,4322585.580870078,1775368.8560182455,1703277.3124759386,-72091.54354230687,2619308.2683941396
TXN-00005,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Engineering,CC-ENG,PC-TECH,510100,Payroll,INR,0.0118,353472376.017366,144102817.72810325,134114424.09915137,4170974.0370049183,1700413.2491916183,1582550.2043699862,-117863.0448216321,-6.9314353365374295,2588423.8326349324,0.6205801833505588,On Time,2025-01-21,0,,India,Payroll,4170974.0370049183,1700413.2491916183,1582550.2043699862,-117863.0448216321,2588423.8326349324
TXN-00006,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Engineering,CC-ENG,PC-TECH,520200,Software Licenses,INR,0.0118,362374090.866434,31824298.751565784,33549600.74753194,4276014.272223921,375526.72526847624,395885.28882087686,20358.56355240062,5.421335468959133,3880128.983403044,0.9074172199582066,7 Days Late,2025-01-12,0,,India,Software Licenses,4276014.272223921,375526.72526847624,395885.28882087686,20358.56355240062,3880128.983403044
TXN-00007,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Operations,CC-OPS,PC-OPS,560100,Office & Facilities,INR,0.0118,342509895.22797745,30761515.10158642,29385960.05195392,4041616.763690134,362985.87819871976,346754.3286130562,-16231.549585663539,-4.471675225000747,3694862.4350770777,0.9142040552364352,On Time,2025-01-15,0,,India,Office & Facilities,4041616.763690134,362985.87819871976,346754.3286130562,-16231.549585663539,3694862.4350770777
TXN-00008,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Engineering,CC-ENG,PC-TECH,510100,Payroll,INR,0.0118,398147073.8420744,86906923.66320644,83261953.13643056,4698135.471336477,1025501.6992258361,982491.0470098807,-43010.65221595543,-4.194108332382551,3715644.424326597,0.7908763906438842,On Time,2025-01-13,0,,India,Payroll,4698135.471336477,1025501.6992258361,982491.0470098807,-43010.65221595543,3715644.424326597
TXN-00009,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Sales,CC-SALES,PC-GROWTH,510100,Payroll,INR,0.0118,366904790.22673166,85878297.09136857,92394898.91748995,4329476.5246754335,1013363.9056781492,1090259.8072263813,76895.90154823207,7.588182400948342,3239216.7174490523,0.7481774526290763,On Time,2025-01-19,0,,India,Payroll,4329476.5246754335,1013363.9056781492,1090259.8072263813,76895.90154823207,3239216.7174490523
TXN-00010,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,IT,CC-IT,PC-TECH,520200,Software Licenses,INR,0.0118,308138821.1393648,35286573.51787668,35108740.11910606,3636038.089444504,416381.5675109448,414283.13340545155,-2098.4341054932447,-0.5039690200594882,3221754.9560390525,0.886061937962607,On Time,2025-01-20,0,,India,Software Licenses,3636038.089444504,416381.5675109448,414283.13340545155,-2098.4341054932447,3221754.9560390525
