Transaction ID,Date,Fiscal Year,Fiscal Period,Region,Country,Legal Entity,Business Unit,Department,Cost Center,Profit Center,GL Account,Cost Category,Cost Type,Line Type,Currency,FX Rate to USD,Revenue Local,Budget Local,Actual Local,Revenue USD,Budget USD,Actual USD,Variance USD,Variance %,Profit USD,Margin %,Anomaly Flag,Anomaly,Payment Status,Payment Due Date,Revenue,COGS,Gross Profit,Gross Margin %,EBITDA,EBITDA Margin %,D&A,EBIT,Interest / Finance Cost,EBT,Tax,PAT,PAT Margin %,Cash Inflow,Cash Outflow,Net Cash Flow,Opening Cash,Closing Cash,Account / Cost Category,Budget,Actual,Variance,Profit,Opex,Receivables,Inventory,Payables,Other Current Assets,Other Current Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Current Assets,Current Liabilities,Property Plant Equipment,Other Non-Current Assets,Total Assets,Total Liabilities,Total Equity,Working Capital,Net Debt,Net Working Capital,Balance Sheet Check
TXN-000001,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Engineering,CC-ENG,PC-TECH,510100,Payroll,COGS,Payroll,INR,0.0118,115034290.25746042,31023658.32135028,32108138.960806187,1357404.625038033,366079.1681919333,378876.039737513,12796.87154557975,3.495656857172059,978528.5853005198,72.08820179709514,0,Normal,On Time,2025-02-15,1357404.625038033,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Payroll,366079.1681919333,378876.039737513,12796.87154557975,978528.5853005198,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000002,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Engineering,CC-ENG,PC-TECH,520100,Cloud Infrastructure,COGS,Department Driver,INR,0.0118,115034290.25746042,21147271.777735107,20843375.95940442,1357404.625038033,249537.80697727425,245951.83632097216,-3585.970656302088,-1.4370450312680143,1111452.7887170608,81.88072798749447,0,Normal,On Time,2025-02-15,1357404.625038033,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Cloud Infrastructure,249537.80697727425,245951.83632097216,-3585.970656302088,1111452.7887170608,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000003,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Finance,CC-FIN,PC-CORP,510100,Payroll,Opex,Payroll,INR,0.0118,36810972.88238733,49615831.37089562,47562052.92825375,434369.4800121705,585466.8101765682,561232.2245533942,-24234.58562317399,-4.139361139167768,-126862.74454122374,-29.20618284177544,0,Normal,On Time,2025-01-16,434369.4800121705,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Payroll,585466.8101765682,561232.2245533942,-24234.58562317399,-126862.74454122374,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000004,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Finance,CC-FIN,PC-CORP,520200,Software Licenses,Opex,Department Driver,INR,0.0118,36810972.88238733,32679889.87376957,32975750.45092246,434369.4800121705,385622.70051048097,389113.855320885,3491.1548104040344,0.905329174289403,45255.62469128549,10.418693479573536,0,Normal,On Time,2025-01-31,434369.4800121705,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Software Licenses,385622.70051048097,389113.855320885,3491.1548104040344,45255.62469128549,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000005,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,HR,CC-HR,PC-CORP,510100,Payroll,Opex,Payroll,INR,0.0118,36810972.88238733,40840936.322039895,39061171.33467791,434369.4800121705,481923.0486000708,460921.8217491992,-21001.22685087146,-4.357796729556209,-26552.34173702873,-6.11284700211552,0,Normal,On Time,2025-02-15,434369.4800121705,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Payroll,481923.0486000708,460921.8217491992,-21001.22685087146,-26552.34173702873,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000006,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,HR,CC-HR,PC-CORP,530100,Professional Services,Opex,Department Driver,INR,0.0118,36810972.88238733,25715486.26917472,25007578.49812781,434369.4800121705,303442.7379762617,295089.42627790815,-8353.311698353564,-2.7528461396255404,139280.05373426236,32.064880278964324,0,Normal,On Time,2025-01-16,434369.4800121705,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Professional Services,303442.7379762617,295089.42627790815,-8353.311698353564,139280.05373426236,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000007,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Sales,CC-SALES,PC-GROWTH,510100,Payroll,COGS,Payroll,INR,0.0118,82824688.9853715,136470539.5369768,135813254.3714207,977331.3300273836,1610352.3665363262,1602596.4015827645,-7755.964953561654,-0.4816315431785777,-625265.0715553808,-63.97677556677341,0,Normal,On Time,2025-01-16,977331.3300273836,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Payroll,1610352.3665363262,1602596.4015827645,-7755.964953561654,-625265.0715553808,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000008,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Sales,CC-SALES,PC-GROWTH,540100,Travel,COGS,Department Driver,INR,0.0118,82824688.9853715,42620190.14736419,40854291.68817442,977331.3300273836,502918.2437388975,482080.6419204582,-20837.60181843934,-4.143337824359718,495250.6881069255,50.67377591313369,0,Normal,On Time,2025-01-31,977331.3300273836,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Travel,502918.2437388975,482080.6419204582,-20837.60181843934,495250.6881069255,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000009,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Marketing,CC-MKT,PC-GROWTH,510100,Payroll,Opex,Payroll,INR,0.0118,55216459.323581,68601930.9877615,66373034.59827251,651554.2200182558,809502.7856555857,783201.8082596156,-26300.977395970203,-3.249028645981748,-131647.5882413598,-20.20516239426263,0,Normal,On Time,2025-01-16,651554.2200182558,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Payroll,809502.7856555857,783201.8082596156,-26300.977395970203,-131647.5882413598,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
TXN-000010,2025-01-01,2025,2025-01,India,India,FinSight India Pvt Ltd,India,Marketing,CC-MKT,PC-GROWTH,550100,Marketing,Opex,Department Driver,INR,0.0118,55216459.323581,41115219.494124494,41182666.10417081,651554.2200182558,485159.590030669,485955.4600292155,795.8699985464721,0.1640429283271844,165598.75998904026,25.415960007810305,0,Normal,On Time,2025-01-16,651554.2200182558,22632406.24709285,31663778.75442846,58.31676526360238,10588917.165266894,19.50213843747992,1465996.9950410754,9122920.170225818,597258.0350167344,8525662.135209084,2131415.533802271,6394246.601406813,11.776603828109938,51038413.90143003,43649784.92076902,7388628.980661012,85000000.0,92388628.980661,Marketing,485159.590030669,485955.4600292155,795.8699985464721,165598.75998904026,21074861.589161567,74973362.30347052,13393423.970882345,23810531.503790837,16288855.500456393,13031084.400365114,45000000.0,75000000.0,120000000.0,197044270.75547028,81841615.90415595,220000000.0,55000000.0,472044270.7554703,156841615.90415597,315202654.8513143,115202654.85131432,27611371.019338995,64556254.77056202,0.0
